gene_name	go_id	biological_function
ACP4	GO:0006469; GO:0007040; GO:0009968; GO:0035335; GO:0048168; GO:1901184	lysosome organization; negative regulation of protein kinase activity; negative regulation of signal transduction; peptidyl-tyrosine dephosphorylation; regulation of ERBB signaling pathway; regulation of neuronal synaptic plasticity
ACP6	GO:0016311	dephosphorylation
ACSBG1	GO:0001676; GO:0006633	fatty acid biosynthetic process; long-chain fatty acid metabolic process
ACSBG2	GO:0001676; GO:0006633	fatty acid biosynthetic process; long-chain fatty acid metabolic process
ACSF2	GO:0006631	fatty acid metabolic process
ACSL1	GO:0001676	long-chain fatty acid metabolic process
ACSL3	GO:0001676; GO:0006637; GO:0030182	acyl-CoA metabolic process; long-chain fatty acid metabolic process; neuron differentiation
ACSL4	GO:0001676; GO:0006637; GO:0030182	acyl-CoA metabolic process; long-chain fatty acid metabolic process; neuron differentiation
ACSL6	GO:0001676	long-chain fatty acid metabolic process
ACSM1	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM2A	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM2B	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM3	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM4	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM5	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSM6	GO:0006633; GO:0006637	acyl-CoA metabolic process; fatty acid biosynthetic process
ACSS1	GO:0006637; GO:0009152; GO:0043604	acyl-CoA metabolic process; amide biosynthetic process; purine ribonucleotide biosynthetic process
ACSS2	GO:0006637; GO:0009152; GO:0043604	acyl-CoA metabolic process; amide biosynthetic process; purine ribonucleotide biosynthetic process
ACTA1	GO:0007015; GO:0030239	actin filament organization; myofibril assembly
ACTB	GO:0006338; GO:0007409; GO:0048870	axonogenesis; cell motility; chromatin remodeling
ACTBL2	GO:0006338; GO:0007409; GO:0048870	axonogenesis; cell motility; chromatin remodeling
ACTC1	GO:0007015; GO:0030048; GO:0060047	actin filament organization; actin filament-based movement; heart contraction
ACTG1	GO:0006338; GO:0007409; GO:0048870	axonogenesis; cell motility; chromatin remodeling
ACTL6A	GO:0006338; GO:0006357; GO:0007399	chromatin remodeling; nervous system development; regulation of transcription by RNA polymerase II
ACTL6B	GO:0006338; GO:0006357; GO:0007399	chromatin remodeling; nervous system development; regulation of transcription by RNA polymerase II
ACTL8	GO:0006338; GO:0007409; GO:0048870	axonogenesis; cell motility; chromatin remodeling
ACTN1	GO:0030036; GO:0055001	actin cytoskeleton organization; muscle cell development
ACTN2	GO:0030036; GO:0055001	actin cytoskeleton organization; muscle cell development
ACTN3	GO:0030036; GO:0055001	actin cytoskeleton organization; muscle cell development
ACTN4	GO:0030036; GO:0055001	actin cytoskeleton organization; muscle cell development
ACTR10	GO:0007018	microtubule-based movement
ACTR2	GO:0034314	Arp2/3 complex-mediated actin nucleation
ACTR3	GO:0034314	Arp2/3 complex-mediated actin nucleation
ACTR3B	GO:0034314	Arp2/3 complex-mediated actin nucleation
ACTR3C	GO:0034314	Arp2/3 complex-mediated actin nucleation
