Gene Name,GO IDs,Biological Functions
ABCA8,"GO:0006686, GO:0006855, GO:0006869, GO:0006869, GO:0010874, GO:0010875, GO:0030301, GO:0030301, GO:0033344, GO:0033344, GO:0042908, GO:0055085, GO:0055085","sphingomyelin biosynthetic process, xenobiotic transmembrane transport, lipid transport, lipid transport, regulation of cholesterol efflux, positive regulation of cholesterol efflux, cholesterol transport, cholesterol transport, cholesterol efflux, cholesterol efflux, xenobiotic transport, transmembrane transport, transmembrane transport"
ABCA9,"GO:0006869, GO:0055085","lipid transport, transmembrane transport"
ABCB1,"GO:0000086, GO:0006805, GO:0009410, GO:0045332, GO:0045332, GO:0045332, GO:0046865, GO:0055085, GO:0055085, GO:0070633, GO:0070633, GO:0072089, GO:0099040, GO:0099040, GO:0140115, GO:0140115, GO:0150104, GO:1905039, GO:1990961, GO:1990961, GO:1990961, GO:1990961, GO:1990962, GO:1990962, GO:1990962, GO:2001225","G2/M transition of mitotic cell cycle, xenobiotic metabolic process, response to xenobiotic stimulus, phospholipid translocation, phospholipid translocation, phospholipid translocation, terpenoid transport, transmembrane transport, transmembrane transport, transepithelial transport, transepithelial transport, stem cell proliferation, ceramide translocation, ceramide translocation, export across plasma membrane, export across plasma membrane, transport across blood-brain barrier, carboxylic acid transmembrane transport, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic detoxification by transmembrane export across the plasma membrane, xenobiotic transport across blood-brain barrier, xenobiotic transport across blood-brain barrier, xenobiotic transport across blood-brain barrier, regulation of chloride transport"
ABCB10,"GO:0006783, GO:0006783, GO:0006783, GO:0006839, GO:0034514, GO:0045648, GO:0045648, GO:0046985, GO:0048821, GO:0055085, GO:0070455, GO:0170037","heme biosynthetic process, heme biosynthetic process, heme biosynthetic process, mitochondrial transport, mitochondrial unfolded protein response, positive regulation of erythrocyte differentiation, positive regulation of erythrocyte differentiation, positive regulation of hemoglobin biosynthetic process, erythrocyte development, transmembrane transport, positive regulation of heme biosynthetic process, export from the mitochondrion"
ABCB11,"GO:0006631, GO:0006631, GO:0006699, GO:0006805, GO:0006805, GO:0006855, GO:0006855, GO:0008206, GO:0008206, GO:0008206, GO:0015721, GO:0015721, GO:0015721, GO:0015721, GO:0015721, GO:0015722, GO:0015722, GO:0015722, GO:0015722, GO:0015722, GO:0016567, GO:0016567, GO:0031998, GO:0031998, GO:0042632, GO:0042632, GO:0046618, GO:0046618, GO:0055085, GO:0055085, GO:0055088, GO:0055088, GO:0055091, GO:0055091, GO:0120189, GO:0120189","fatty acid metabolic process, fatty acid metabolic process, bile acid biosynthetic process, xenobiotic metabolic process, xenobiotic metabolic process, xenobiotic transmembrane transport, xenobiotic transmembrane transport, bile acid metabolic process, bile acid metabolic process, bile acid metabolic process, bile acid and bile salt transport, bile acid and bile salt transport, bile acid and bile salt transport, bile acid and bile salt transport, bile acid and bile salt transport, canalicular bile acid transport, canalicular bile acid transport, canalicular bile acid transport, canalicular bile acid transport, canalicular bile acid transport, protein ubiquitination, protein ubiquitination, regulation of fatty acid beta-oxidation, regulation of fatty acid beta-oxidation, cholesterol homeostasis, cholesterol homeostasis, xenobiotic export from cell, xenobiotic export from cell, transmembrane transport, transmembrane transport, lipid homeostasis, lipid homeostasis, phospholipid homeostasis, phospholipid homeostasis, positive regulation of bile acid secretion, positive regulation of bile acid secretion"
ABCB4,"GO:0006629, GO:0032376, GO:0032376, GO:0032782, GO:0032782, GO:0045332, GO:0045332, GO:0045332, GO:0045332, GO:0055085, GO:0055085, GO:0055088, GO:0061092, GO:0099040, GO:1901557, GO:1901557, GO:1903413, GO:2001140, GO:2001140","lipid metabolic process, positive regulation of cholesterol transport, positive regulation of cholesterol transport, bile acid secretion, bile acid secretion, phospholipid translocation, phospholipid translocation, phospholipid translocation, phospholipid translocation, transmembrane transport, transmembrane transport, lipid homeostasis, positive regulation of phospholipid translocation, ceramide translocation, response to fenofibrate, response to fenofibrate, cellular response to bile acid, positive regulation of phospholipid transport, positive regulation of phospholipid transport"
ABCB5,"GO:0001654, GO:0001654, GO:0042391, GO:0042908, GO:0055085, GO:0055085, GO:0055085, GO:0055085","eye development, eye development, regulation of membrane potential, xenobiotic transport, transmembrane transport, transmembrane transport, transmembrane transport, transmembrane transport"
ABCB6,"GO:0006778, GO:0006778, GO:0006778, GO:0006779, GO:0006785, GO:0006878, GO:0006878, GO:0006879, GO:0007420, GO:0015886, GO:0015886, GO:0015886, GO:0033013, GO:0034755, GO:0035351, GO:0042168, GO:0043588, GO:0055085, GO:0055085, GO:0098849, GO:1903232","porphyrin-containing compound metabolic process, porphyrin-containing compound metabolic process, porphyrin-containing compound metabolic process, porphyrin-containing compound biosynthetic process, heme B biosynthetic process, intracellular copper ion homeostasis, intracellular copper ion homeostasis, intracellular iron ion homeostasis, brain development, heme transport, heme transport, heme transport, tetrapyrrole metabolic process, iron ion transmembrane transport, heme transmembrane transport, heme metabolic process, skin development, transmembrane transport, transmembrane transport, cellular detoxification of cadmium ion, melanosome assembly"
ABCB7,"GO:0006783, GO:0006879, GO:0006879, GO:0006879, GO:0006879, GO:0015886, GO:0016226, GO:0016226, GO:0034755, GO:0034755, GO:0055085, GO:0055085, GO:0070455, GO:0070455, GO:0070455, GO:0140466, GO:1903331, GO:1903331, GO:1903331, GO:1903427","heme biosynthetic process, intracellular iron ion homeostasis, intracellular iron ion homeostasis, intracellular iron ion homeostasis, intracellular iron ion homeostasis, heme transport, iron-sulfur cluster assembly, iron-sulfur cluster assembly, iron ion transmembrane transport, iron ion transmembrane transport, transmembrane transport, transmembrane transport, positive regulation of heme biosynthetic process, positive regulation of heme biosynthetic process, positive regulation of heme biosynthetic process, iron-sulfur cluster export from the mitochondrion, positive regulation of iron-sulfur cluster assembly, positive regulation of iron-sulfur cluster assembly, positive regulation of iron-sulfur cluster assembly, negative regulation of reactive oxygen species biosynthetic process"
ABCB8,"GO:0006884, GO:0055085, GO:0055085, GO:0071805, GO:0140141","cell volume homeostasis, transmembrane transport, transmembrane transport, potassium ion transmembrane transport, mitochondrial potassium ion transmembrane transport"
