Gene Name,GO IDs,Biological Functions
PHF11,None Found,None Found
PHF12,"GO:0000122, GO:0000122, GO:0045892, GO:0045892","negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, negative regulation of DNA-templated transcription, negative regulation of DNA-templated transcription"
PHF13,"GO:0000278, GO:0006325, GO:0006974, GO:0007059, GO:0007076, GO:0007076","mitotic cell cycle, chromatin organization, DNA damage response, chromosome segregation, mitotic chromosome condensation, mitotic chromosome condensation"
PHF14,"GO:0000122, GO:0002314, GO:0002314, GO:0006325, GO:0008285, GO:0048286, GO:0072201, GO:2000584, GO:2000791","negative regulation of transcription by RNA polymerase II, germinal center B cell differentiation, germinal center B cell differentiation, chromatin organization, negative regulation of cell population proliferation, lung alveolus development, negative regulation of mesenchymal cell proliferation, negative regulation of platelet-derived growth factor receptor-alpha signaling pathway, negative regulation of mesenchymal cell proliferation involved in lung development"
PHF19,"GO:0000122, GO:0000122, GO:0019827, GO:0031507, GO:0040029, GO:0045814, GO:0045814, GO:0045814, GO:0048863","negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, stem cell population maintenance, heterochromatin formation, epigenetic regulation of gene expression, negative regulation of gene expression, epigenetic, negative regulation of gene expression, epigenetic, negative regulation of gene expression, epigenetic, stem cell differentiation"
PHF2,"GO:0001889, GO:0006338, GO:0006482, GO:0045815, GO:0045815, GO:0045815, GO:0045893, GO:0061188, GO:0061188","liver development, chromatin remodeling, protein demethylation, transcription initiation-coupled chromatin remodeling, transcription initiation-coupled chromatin remodeling, transcription initiation-coupled chromatin remodeling, positive regulation of DNA-templated transcription, negative regulation of rDNA heterochromatin formation, negative regulation of rDNA heterochromatin formation"
PHF20,"GO:0006357, GO:0045893","regulation of transcription by RNA polymerase II, positive regulation of DNA-templated transcription"
PHF20L1,"GO:0006357, GO:0032435, GO:0042177","regulation of transcription by RNA polymerase II, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, negative regulation of protein catabolic process"
PHF21A,GO:0000122,negative regulation of transcription by RNA polymerase II
PHF21B,None Found,None Found
PHF23,"GO:0031398, GO:0031398, GO:1901097, GO:1901097, GO:1902902, GO:1902902","positive regulation of protein ubiquitination, positive regulation of protein ubiquitination, negative regulation of autophagosome maturation, negative regulation of autophagosome maturation, negative regulation of autophagosome assembly, negative regulation of autophagosome assembly"
PHF24,GO:0045892,negative regulation of DNA-templated transcription
PHF3,GO:0006351,DNA-templated transcription
PHF5A,"GO:0000387, GO:0000388, GO:0000398, GO:0000398, GO:0000398, GO:0000398, GO:0045893, GO:0048863, GO:1903241","spliceosomal snRNP assembly, spliceosome conformational change to release U4 (or U4atac) and U1 (or U11), mRNA splicing, via spliceosome, mRNA splicing, via spliceosome, mRNA splicing, via spliceosome, mRNA splicing, via spliceosome, positive regulation of DNA-templated transcription, stem cell differentiation, U2-type prespliceosome assembly"
PHF6,"GO:0000122, GO:0006357","negative regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II"
PHF7,"GO:0006338, GO:0016567, GO:0090291, GO:0090291","chromatin remodeling, protein ubiquitination, negative regulation of osteoclast proliferation, negative regulation of osteoclast proliferation"
PHF8,"GO:0000082, GO:0006338, GO:0007420, GO:0045893, GO:0045893, GO:0045893, GO:0045943, GO:0045944, GO:0061188, GO:0061188","G1/S transition of mitotic cell cycle, chromatin remodeling, brain development, positive regulation of DNA-templated transcription, positive regulation of DNA-templated transcription, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase I, positive regulation of transcription by RNA polymerase II, negative regulation of rDNA heterochromatin formation, negative regulation of rDNA heterochromatin formation"
PHGDH,"GO:0006564, GO:0006564, GO:0007420","L-serine biosynthetic process, L-serine biosynthetic process, brain development"
PHGR1,None Found,None Found
PHIP,"GO:0001932, GO:0006325, GO:0006357, GO:0008284, GO:0008286, GO:0009966, GO:0031297, GO:0043066, GO:0043066, GO:0043568, GO:0045840, GO:0045893, GO:0045893, GO:0045944, GO:2001237","regulation of protein phosphorylation, chromatin organization, regulation of transcription by RNA polymerase II, positive regulation of cell population proliferation, insulin receptor signaling pathway, regulation of signal transduction, replication fork processing, negative regulation of apoptotic process, negative regulation of apoptotic process, positive regulation of insulin-like growth factor receptor signaling pathway, positive regulation of mitotic nuclear division, positive regulation of DNA-templated transcription, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, negative regulation of extrinsic apoptotic signaling pathway"
PHKA1,"GO:0005975, GO:0005977, GO:0005977, GO:0005980, GO:0006091, GO:0045819","carbohydrate metabolic process, glycogen metabolic process, glycogen metabolic process, glycogen catabolic process, generation of precursor metabolites and energy, positive regulation of glycogen catabolic process"
PHKA2,"GO:0005975, GO:0005975, GO:0005977, GO:0006091, GO:0036211","carbohydrate metabolic process, carbohydrate metabolic process, glycogen metabolic process, generation of precursor metabolites and energy, protein modification process"
PHKB,"GO:0005975, GO:0005977, GO:0005977, GO:0005980, GO:0006091","carbohydrate metabolic process, glycogen metabolic process, glycogen metabolic process, glycogen catabolic process, generation of precursor metabolites and energy"
PHKG1,"GO:0005975, GO:0005977, GO:0005977, GO:0005980, GO:0005980, GO:0005980, GO:0007165","carbohydrate metabolic process, glycogen metabolic process, glycogen metabolic process, glycogen catabolic process, glycogen catabolic process, glycogen catabolic process, signal transduction"
PHKG2,"GO:0005977, GO:0005977, GO:0005977, GO:0005980, GO:0005980, GO:0006091, GO:0006468, GO:0007165, GO:0045819, GO:0045819","glycogen metabolic process, glycogen metabolic process, glycogen metabolic process, glycogen catabolic process, glycogen catabolic process, generation of precursor metabolites and energy, protein phosphorylation, signal transduction, positive regulation of glycogen catabolic process, positive regulation of glycogen catabolic process"
PHLDA1,"GO:0043065, GO:0043065","positive regulation of apoptotic process, positive regulation of apoptotic process"
PHLDA2,"GO:0001890, GO:0006915, GO:0043065","placenta development, apoptotic process, positive regulation of apoptotic process"
PHLDA3,"GO:0009653, GO:0042771, GO:0042771, GO:0043065, GO:0043065, GO:0043065, GO:0051898, GO:0051898","anatomical structure morphogenesis, intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator, positive regulation of apoptotic process, positive regulation of apoptotic process, positive regulation of apoptotic process, negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction, negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction"
PHLDB1,"GO:0071711, GO:0071711, GO:0071711","basement membrane organization, basement membrane organization, basement membrane organization"
PHLDB2,"GO:0000226, GO:0007163, GO:0016477, GO:0030010, GO:0045184, GO:0051497, GO:0051895, GO:0071711, GO:0071711, GO:0071711, GO:1903690","microtubule cytoskeleton organization, establishment or maintenance of cell polarity, cell migration, establishment of cell polarity, establishment of protein localization, negative regulation of stress fiber assembly, negative regulation of focal adhesion assembly, basement membrane organization, basement membrane organization, basement membrane organization, negative regulation of wound healing, spreading of epidermal cells"
PHLDB3,None Found,None Found
PHLPP1,"GO:0002667, GO:0035556, GO:0042981, GO:0043408, GO:0046328, GO:0051898, GO:1900744","regulation of T cell anergy, intracellular signal transduction, regulation of apoptotic process, regulation of MAPK cascade, regulation of JNK cascade, negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction, regulation of p38MAPK cascade"
PHLPP2,"GO:0021766, GO:0035556","hippocampus development, intracellular signal transduction"
PHOSPHO1,"GO:0001958, GO:0030282, GO:0030282, GO:0035630","endochondral ossification, bone mineralization, bone mineralization, bone mineralization involved in bone maturation"
PHOSPHO2,None Found,None Found
PHOX2A,"GO:0003357, GO:0003357, GO:0006355, GO:0006357, GO:0006357, GO:0021623, GO:0021642, GO:0045944, GO:0045944, GO:0045944, GO:0048666, GO:0071542","noradrenergic neuron differentiation, noradrenergic neuron differentiation, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II, oculomotor nerve formation, trochlear nerve formation, positive regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, neuron development, dopaminergic neuron differentiation"
PHOX2B,"GO:0001764, GO:0002087, GO:0002087, GO:0003357, GO:0003357, GO:0003358, GO:0003358, GO:0003360, GO:0006355, GO:0006357, GO:0006357, GO:0010001, GO:0010468, GO:0010468, GO:0010971, GO:0021533, GO:0021723, GO:0021723, GO:0021934, GO:0045944, GO:0045944, GO:0045944, GO:0048483, GO:0048484, GO:0048484, GO:0048484, GO:0048485, GO:0048485, GO:0048486, GO:0048486, GO:0048666, GO:0048839, GO:0048894, GO:0060541, GO:0060541, GO:0061452, GO:0061452, GO:0061549, GO:0061549, GO:0071542, GO:0071542, GO:0071542, GO:0071773, GO:0120162, GO:0120162, GO:1901166, GO:1901166","neuron migration, regulation of respiratory gaseous exchange by nervous system process, regulation of respiratory gaseous exchange by nervous system process, noradrenergic neuron differentiation, noradrenergic neuron differentiation, noradrenergic neuron development, noradrenergic neuron development, brainstem development, regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II, glial cell differentiation, regulation of gene expression, regulation of gene expression, positive regulation of G2/M transition of mitotic cell cycle, cell differentiation in hindbrain, medullary reticular formation development, medullary reticular formation development, hindbrain tangential cell migration, positive regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, positive regulation of transcription by RNA polymerase II, autonomic nervous system development, enteric nervous system development, enteric nervous system development, enteric nervous system development, sympathetic nervous system development, sympathetic nervous system development, parasympathetic nervous system development, parasympathetic nervous system development, neuron development, inner ear development, efferent axon development in a lateral line nerve, respiratory system development, respiratory system development, retrotrapezoid nucleus neuron differentiation, retrotrapezoid nucleus neuron differentiation, sympathetic ganglion development, sympathetic ganglion development, dopaminergic neuron differentiation, dopaminergic neuron differentiation, dopaminergic neuron differentiation, cellular response to BMP stimulus, positive regulation of cold-induced thermogenesis, positive regulation of cold-induced thermogenesis, neural crest cell migration involved in autonomic nervous system development, neural crest cell migration involved in autonomic nervous system development"
PHPT1,"GO:0030036, GO:0030036, GO:0050860, GO:0097581, GO:2000147, GO:2000147","actin cytoskeleton organization, actin cytoskeleton organization, negative regulation of T cell receptor signaling pathway, lamellipodium organization, positive regulation of cell motility, positive regulation of cell motility"
PHRF1,GO:0016567,protein ubiquitination
PHTF1,None Found,None Found
PHTF2,None Found,None Found
PHYH,"GO:0001561, GO:0001561, GO:0001561, GO:0006103, GO:0006631, GO:0006720, GO:0019606, GO:0097089","fatty acid alpha-oxidation, fatty acid alpha-oxidation, fatty acid alpha-oxidation, 2-oxoglutarate metabolic process, fatty acid metabolic process, isoprenoid metabolic process, 2-oxobutyrate catabolic process, methyl-branched fatty acid metabolic process"
PHYHD1,None Found,None Found
PHYHIP,GO:0008104,intracellular protein localization
PHYHIPL,None Found,None Found
PHYKPL,None Found,None Found
PI15,None Found,None Found
PI16,None Found,None Found
PI3,"GO:0007620, GO:0019731, GO:0045087, GO:0070268","copulation, antibacterial humoral response, innate immune response, cornification"
PI4K2A,"GO:0006661, GO:0006661, GO:0007030, GO:0007032, GO:0046854, GO:0046854","phosphatidylinositol biosynthetic process, phosphatidylinositol biosynthetic process, Golgi organization, endosome organization, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process"
PI4K2B,"GO:0006661, GO:0007030, GO:0007032, GO:0046854, GO:0046854","phosphatidylinositol biosynthetic process, Golgi organization, endosome organization, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process"
PI4KA,"GO:0006661, GO:0007165, GO:0022011, GO:0044788, GO:0046854, GO:0046854, GO:0046854, GO:0046854, GO:0048015, GO:0140754","phosphatidylinositol biosynthetic process, signal transduction, myelination in peripheral nervous system, host-mediated perturbation of viral process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol-mediated signaling, reorganization of cellular membranes to establish viral sites of replication"
PI4KAP1,None Found,None Found
PI4KAP1,None Found,None Found
PI4KAP2,None Found,None Found
PI4KAP2,GO:0046854,phosphatidylinositol phosphate biosynthetic process
PI4KB,"GO:0006661, GO:0006898, GO:0007040, GO:0007040, GO:0007165, GO:0046854, GO:0046854, GO:0046854, GO:0048015, GO:0048839, GO:0048839","phosphatidylinositol biosynthetic process, receptor-mediated endocytosis, lysosome organization, lysosome organization, signal transduction, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol phosphate biosynthetic process, phosphatidylinositol-mediated signaling, inner ear development, inner ear development"
PIANP,GO:0050776,regulation of immune response
PIAS1,"GO:0000082, GO:0000122, GO:0000122, GO:0000122, GO:0006974, GO:0007259, GO:0007283, GO:0008542, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0032436, GO:0032436, GO:0033235, GO:0033235, GO:0042127, GO:0042127, GO:0043066, GO:0045444, GO:0045893, GO:0045944, GO:0046426, GO:0046426, GO:0051152, GO:0060261, GO:0065004, GO:1904377","G1/S transition of mitotic cell cycle, negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, negative regulation of transcription by RNA polymerase II, DNA damage response, cell surface receptor signaling pathway via JAK-STAT, spermatogenesis, visual learning, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, positive regulation of proteasomal ubiquitin-dependent protein catabolic process, positive regulation of proteasomal ubiquitin-dependent protein catabolic process, positive regulation of protein sumoylation, positive regulation of protein sumoylation, regulation of cell population proliferation, regulation of cell population proliferation, negative regulation of apoptotic process, fat cell differentiation, positive regulation of DNA-templated transcription, positive regulation of transcription by RNA polymerase II, negative regulation of receptor signaling pathway via JAK-STAT, negative regulation of receptor signaling pathway via JAK-STAT, positive regulation of smooth muscle cell differentiation, positive regulation of transcription initiation by RNA polymerase II, protein-DNA complex assembly, positive regulation of protein localization to cell periphery"
PIAS2,"GO:0006357, GO:0007179, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0030968, GO:0045892, GO:0046426, GO:0060395, GO:0060766","regulation of transcription by RNA polymerase II, transforming growth factor beta receptor signaling pathway, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, endoplasmic reticulum unfolded protein response, negative regulation of DNA-templated transcription, negative regulation of receptor signaling pathway via JAK-STAT, SMAD protein signal transduction, negative regulation of androgen receptor signaling pathway"
PIAS3,"GO:0000122, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0033234, GO:0033235, GO:0046426","negative regulation of transcription by RNA polymerase II, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, negative regulation of protein sumoylation, positive regulation of protein sumoylation, negative regulation of receptor signaling pathway via JAK-STAT"
PIAS4,"GO:0006302, GO:0006357, GO:0010468, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0016925, GO:0033235, GO:0042359, GO:0043124, GO:0043488, GO:0045892, GO:0045892, GO:0046426, GO:0080135, GO:0120186, GO:1902174, GO:1902174, GO:1905168","double-strand break repair, regulation of transcription by RNA polymerase II, regulation of gene expression, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, protein sumoylation, positive regulation of protein sumoylation, vitamin D metabolic process, negative regulation of canonical NF-kappaB signal transduction, regulation of mRNA stability, negative regulation of DNA-templated transcription, negative regulation of DNA-templated transcription, negative regulation of receptor signaling pathway via JAK-STAT, regulation of cellular response to stress, negative regulation of protein localization to chromatin, positive regulation of keratinocyte apoptotic process, positive regulation of keratinocyte apoptotic process, positive regulation of double-strand break repair via homologous recombination"
PIBF1,"GO:0007080, GO:0031393, GO:0032695, GO:0032733, GO:0032815, GO:0042531, GO:0042532, GO:0042976, GO:0060271, GO:0060271, GO:0071539, GO:0090307, GO:1905515","mitotic metaphase chromosome alignment, negative regulation of prostaglandin biosynthetic process, negative regulation of interleukin-12 production, positive regulation of interleukin-10 production, negative regulation of natural killer cell activation, positive regulation of tyrosine phosphorylation of STAT protein, negative regulation of tyrosine phosphorylation of STAT protein, activation of Janus kinase activity, cilium assembly, cilium assembly, protein localization to centrosome, mitotic spindle assembly, non-motile cilium assembly"
PICALM,"GO:0006879, GO:0006897, GO:0006897, GO:0006898, GO:0006900, GO:0006900, GO:0007611, GO:0010629, GO:0016188, GO:0016192, GO:0016197, GO:0030100, GO:0031623, GO:0032880, GO:0035459, GO:0045893, GO:0046579, GO:0048259, GO:0048261, GO:0048268, GO:0048268, GO:0048268, GO:0060586, GO:0065003, GO:0072583, GO:0072583, GO:0072583, GO:0097494, GO:0097753, GO:0150093, GO:0150093, GO:1902003, GO:1902004, GO:1902991, GO:1902993, GO:1903077, GO:2000009","intracellular iron ion homeostasis, endocytosis, endocytosis, receptor-mediated endocytosis, vesicle budding from membrane, vesicle budding from membrane, learning or memory, negative regulation of gene expression, synaptic vesicle maturation, vesicle-mediated transport, endosomal transport, regulation of endocytosis, receptor internalization, regulation of protein localization, vesicle cargo loading, positive regulation of DNA-templated transcription, positive regulation of Ras protein signal transduction, regulation of receptor-mediated endocytosis, negative regulation of receptor-mediated endocytosis, clathrin coat assembly, clathrin coat assembly, clathrin coat assembly, multicellular organismal-level iron ion homeostasis, protein-containing complex assembly, clathrin-dependent endocytosis, clathrin-dependent endocytosis, clathrin-dependent endocytosis, regulation of vesicle size, membrane bending, amyloid-beta clearance by transcytosis, amyloid-beta clearance by transcytosis, regulation of amyloid-beta formation, positive regulation of amyloid-beta formation, regulation of amyloid precursor protein catabolic process, positive regulation of amyloid precursor protein catabolic process, negative regulation of protein localization to plasma membrane, negative regulation of protein localization to cell surface"
PICK1,"GO:0002092, GO:0002092, GO:0006468, GO:0006886, GO:0021782, GO:0034315, GO:0034316, GO:0036294, GO:0042149, GO:0043113, GO:0043113, GO:0045161, GO:0050796, GO:0060292, GO:0097061, GO:0097062, GO:0097062","positive regulation of receptor internalization, positive regulation of receptor internalization, protein phosphorylation, intracellular protein transport, glial cell development, regulation of Arp2/3 complex-mediated actin nucleation, negative regulation of Arp2/3 complex-mediated actin nucleation, cellular response to decreased oxygen levels, cellular response to glucose starvation, receptor clustering, receptor clustering, neuronal ion channel clustering, regulation of insulin secretion, long-term synaptic depression, dendritic spine organization, dendritic spine maintenance, dendritic spine maintenance"
PID1,"GO:0006112, GO:0007005, GO:0010628, GO:0010635, GO:0042127, GO:0044320, GO:0045444, GO:0045944, GO:0046325, GO:0046325, GO:0046325, GO:0046627, GO:0046627, GO:0051881, GO:0051881, GO:0051881, GO:0070346, GO:0071345, GO:0071345, GO:0071354, GO:0071354, GO:0071356, GO:0071356, GO:0071356, GO:0071398, GO:0071398, GO:1903077, GO:2000377, GO:2000377, GO:2000377, GO:2000379, GO:2001169, GO:2001170, GO:2001171, GO:2001171","energy reserve metabolic process, mitochondrion organization, positive regulation of gene expression, regulation of mitochondrial fusion, regulation of cell population proliferation, cellular response to leptin stimulus, fat cell differentiation, positive regulation of transcription by RNA polymerase II, negative regulation of D-glucose import across plasma membrane, negative regulation of D-glucose import across plasma membrane, negative regulation of D-glucose import across plasma membrane, negative regulation of insulin receptor signaling pathway, negative regulation of insulin receptor signaling pathway, regulation of mitochondrial membrane potential, regulation of mitochondrial membrane potential, regulation of mitochondrial membrane potential, positive regulation of fat cell proliferation, cellular response to cytokine stimulus, cellular response to cytokine stimulus, cellular response to interleukin-6, cellular response to interleukin-6, cellular response to tumor necrosis factor, cellular response to tumor necrosis factor, cellular response to tumor necrosis factor, cellular response to fatty acid, cellular response to fatty acid, negative regulation of protein localization to plasma membrane, regulation of reactive oxygen species metabolic process, regulation of reactive oxygen species metabolic process, regulation of reactive oxygen species metabolic process, positive regulation of reactive oxygen species metabolic process, regulation of ATP biosynthetic process, negative regulation of ATP biosynthetic process, positive regulation of ATP biosynthetic process, positive regulation of ATP biosynthetic process"
PIDD1,"GO:0006915, GO:0006915, GO:0006915, GO:0006974, GO:0006974, GO:0006974, GO:0007165, GO:0007165, GO:0016540, GO:0030330, GO:0035556, GO:0043065, GO:0043065, GO:0043066, GO:0043122","apoptotic process, apoptotic process, apoptotic process, DNA damage response, DNA damage response, DNA damage response, signal transduction, signal transduction, protein autoprocessing, DNA damage response, signal transduction by p53 class mediator, intracellular signal transduction, positive regulation of apoptotic process, positive regulation of apoptotic process, negative regulation of apoptotic process, regulation of canonical NF-kappaB signal transduction"
PIERCE1,"GO:0003341, GO:0003341, GO:0007368, GO:0030317, GO:0030317, GO:0035082, GO:0035082, GO:0061966, GO:0061966","cilium movement, cilium movement, determination of left/right symmetry, flagellated sperm motility, flagellated sperm motility, axoneme assembly, axoneme assembly, establishment of left/right asymmetry, establishment of left/right asymmetry"
PIERCE2,"GO:0003341, GO:0003341, GO:0007368, GO:0007368, GO:0030317, GO:0030317, GO:0035082, GO:0035082","cilium movement, cilium movement, determination of left/right symmetry, determination of left/right symmetry, flagellated sperm motility, flagellated sperm motility, axoneme assembly, axoneme assembly"
PIEZO1,"GO:0006812, GO:0010831, GO:0033625, GO:0033634, GO:0034220, GO:0042391, GO:0050982, GO:0071260, GO:0098655","monoatomic cation transport, positive regulation of myotube differentiation, positive regulation of integrin activation, positive regulation of cell-cell adhesion mediated by integrin, monoatomic ion transmembrane transport, regulation of membrane potential, detection of mechanical stimulus, cellular response to mechanical stimulus, monoatomic cation transmembrane transport"
PIEZO2,"GO:0002000, GO:0006812, GO:0009612, GO:0034220, GO:0042391, GO:0050974, GO:0050982, GO:0071260, GO:0098655","detection of renal blood flow, monoatomic cation transport, response to mechanical stimulus, monoatomic ion transmembrane transport, regulation of membrane potential, detection of mechanical stimulus involved in sensory perception, detection of mechanical stimulus, cellular response to mechanical stimulus, monoatomic cation transmembrane transport"
PIF1,"GO:0000723, GO:0001117, GO:0006281, GO:0006310, GO:0007004, GO:0032211, GO:0032211","telomere maintenance, protein-DNA-RNA complex disassembly, DNA repair, DNA recombination, telomere maintenance via telomerase, negative regulation of telomere maintenance via telomerase, negative regulation of telomere maintenance via telomerase"
PIFO,None Found,None Found
PIGA,"GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGB,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGBOS1,GO:1900101,regulation of endoplasmic reticulum unfolded protein response
PIGC,"GO:0006506, GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGF,"GO:0006506, GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGG,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGH,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGK,"GO:0006506, GO:0006508, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0180046","GPI anchor biosynthetic process, proteolysis, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, GPI anchored protein biosynthesis"
PIGL,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGM,"GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGN,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGO,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGP,"GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGQ,"GO:0005975, GO:0006506, GO:0006506, GO:0006506","carbohydrate metabolic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGR,"GO:0001580, GO:0002415, GO:0002415, GO:0007165, GO:0007173, GO:0038093, GO:0043113","detection of chemical stimulus involved in sensory perception of bitter taste, immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor, immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor, signal transduction, epidermal growth factor receptor signaling pathway, Fc receptor signaling pathway, receptor clustering"
PIGS,"GO:0006506, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0180046","GPI anchor biosynthetic process, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, GPI anchored protein biosynthesis"
PIGT,"GO:0006506, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0180046","GPI anchor biosynthetic process, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, GPI anchored protein biosynthesis"
PIGU,"GO:0006506, GO:0006506, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0016255, GO:0046425, GO:0180046, GO:0180046","GPI anchor biosynthetic process, GPI anchor biosynthetic process, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, attachment of GPI anchor to protein, regulation of receptor signaling pathway via JAK-STAT, GPI anchored protein biosynthesis, GPI anchored protein biosynthesis"
PIGV,"GO:0006506, GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGW,"GO:0006505, GO:0006505, GO:0006506, GO:0006506, GO:0006506, GO:0006506, GO:0072659","GPI anchor metabolic process, GPI anchor metabolic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, protein localization to plasma membrane"
PIGX,GO:0006506,GPI anchor biosynthetic process
PIGY,"GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIGZ,"GO:0006506, GO:0006506, GO:0006506, GO:0006506, GO:0006506","GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process, GPI anchor biosynthetic process"
PIH1D1,"GO:0000492, GO:0000492, GO:0006338, GO:0006364, GO:0030855, GO:0048254, GO:0050821, GO:1901838, GO:1901838, GO:1902661, GO:1903939, GO:1904263, GO:1905669","box C/D snoRNP assembly, box C/D snoRNP assembly, chromatin remodeling, rRNA processing, epithelial cell differentiation, snoRNA localization, protein stabilization, positive regulation of transcription of nucleolar large rRNA by RNA polymerase I, positive regulation of transcription of nucleolar large rRNA by RNA polymerase I, positive regulation of glucose mediated signaling pathway, regulation of TORC2 signaling, positive regulation of TORC1 signaling, TORC1 complex assembly"
PIH1D2,"GO:0000492, GO:0006364, GO:0050821","box C/D snoRNP assembly, rRNA processing, protein stabilization"
